Devices
1000
,,FP1_4719 - Force,,,FP1_4719 - Moment,,,FP1_4719 - CoP,,,FP1_4719 - Raw,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V
166,3,-3.92371,16.8083,-122.642,11197.4,-933.045,-820.891,224.167,162.699,0,0.0354004,0.128479,0.219116,-0.140991,-0.0125122,0.0384521
167,0,-4.05626,16.992,-122.115,11147.5,-946.954,-784.486,224.02,162.713,0,0.0363159,0.1297,0.218201,-0.140076,-0.0128174,0.0372314
167,1,-3.92209,16.7205,-121.763,11232.7,-954.174,-820.771,223.939,161.75,0,0.0354004,0.127869,0.21759,-0.141602,-0.0128174,0.0384521
167,2,-3.96226,16.4992,-121.238,11068.8,-952.729,-811.244,223.917,162.702,0,0.0357056,0.126343,0.216675,-0.13916,-0.0128174,0.038147
167,3,-4.09654,16.5911,-120.709,11111.6,-966.78,-774.931,223.766,161.948,0,0.0366211,0.126953,0.215759,-0.139771,-0.0131226,0.0369263
168,0,-4.18237,16.1886,-120.186,11036.4,-1060.64,-801.643,222.95,162.172,0,0.0372314,0.124207,0.214844,-0.138855,-0.0146484,0.0378418
168,1,-3.9579,16.1877,-120.007,11075.2,-1051.88,-792.73,223.01,161.712,0,0.0357056,0.124207,0.214539,-0.139465,-0.0143433,0.0375366
168,2,-4.18188,16.0085,-120.011,11028.8,-1041.6,-810.594,223.096,162.102,0,0.0372314,0.122986,0.214539,-0.138855,-0.0143433,0.038147
168,3,-4.22295,15.7418,-119.309,10882.6,-943.404,-782.963,223.868,162.787,0,0.0375366,0.121155,0.213318,-0.136719,-0.0128174,0.0372314
169,0,-4.40031,15.6993,-119.137,10842,-1071.4,-809.899,222.782,162.996,0,0.0387573,0.12085,0.213013,-0.136108,-0.0149536,0.038147
169,1,-4.26804,15.741,-119.839,10862.9,-1018.08,-810.145,223.28,163.355,0,0.0378418,0.121155,0.214233,-0.136414,-0.0140381,0.038147
169,2,-4.53474,15.6551,-118.963,10878.7,-1143.26,-818.867,222.165,162.554,0,0.0396729,0.120544,0.212708,-0.136719,-0.0161743,0.0384521
169,3,-4.17507,15.6094,-118.43,10915.7,-1083.16,-809.981,222.629,161.83,0,0.0372314,0.120239,0.211792,-0.137329,-0.0149536,0.038147
170,0,-4.40067,15.3369,-119.491,10826.3,-1031.76,-800.681,223.14,163.396,0,0.0387573,0.118408,0.213623,-0.136108,-0.0143433,0.0378418
170,1,-4.35179,15.4331,-117.732,10831.2,-1095.89,-863.989,222.467,162.001,0,0.0384521,0.119019,0.210571,-0.136108,-0.0152588,0.039978
170,2,-4.26388,15.3843,-118.786,10809.3,-1058.94,-836.924,222.86,163.002,0,0.0378418,0.118713,0.212402,-0.135803,-0.0146484,0.0390625
170,3,-4.48341,15.1655,-117.206,10761.9,-1090.14,-809.186,222.474,162.179,0,0.0393677,0.117188,0.209656,-0.135193,-0.0152588,0.038147
171,0,-4.57284,15.2569,-117.208,10688.6,-1047.4,-845.383,222.839,162.807,0,0.039978,0.117798,0.209656,-0.133972,-0.0146484,0.0393677
